Hangul,Meaning,Pronunciation,Speech Part,Classification,Notes,Unit.Lesson
크다,to be big,kuda,adjective,objects,,1.3
작다,to be small,jakda,adjective,objects,,1.3
새롭다,to be new,saerobda,adjective,objects,,1.3
낡다,to be old/worn,daigda,adjective,objects,,1.3
비싸다,to be expensive,bissada,adjective,objects,,1.3
싸다,to be cheap,ssada,adjective,objects,,1.3
아름답다,to be beautiful,arumdabda,adjective,objects,,1.3
뚱뚱하다,to be fat/chubby,ddongdongghada,adjective,people,,1.3
길다,to be long,gilda,adjective,objects,,1.3
촣다,to be good,chohta,adjective,objects,,1.3
아주,very,aju ,adverb,abstracts,,1.3
매우,very,baeu,adverb,abstracts,,1.3
너무,too (often used as very),deomu,adverb,abstracts,,1.3
의,possessive marker (like 's/'),ui,particle,objects,,1.4
길,street,kil,noun,places,,1.4
거리,street/road,geori,noun,places,,1.4
손,hand,son,noun,objects,,1.4
영어,English,yeongeo,noun,abstracts,,1.4
택시,taxi,taksi,noun,objects,,1.4
열자,train,yeolja,noun,objects,,1.4
역,train/subway station,yeok,noun,places,,1.4
버스 정류장,bus stop,beoseu jongnyujang,noun,places,,1.4
비행기,airplane,bihaengi,noun,objects,,1.4
자전거,bicycle,jajonggeo,noun,objects,,1.4
아내,wife,anae,noun,people,The word “와이프” is commonly used these days.,1.4
아이,child,ai,noun,people,,1.4
아들,son,adul,noun,people,,1.4
딸,daughter,dal,noun,people,,1.4
남편,husband,dampyeon,noun,people,,1.4
아버지,father,abeoji,noun,people,아빠,1.4
아머니,mother,oemeoni,noun,people,엄마,1.4
편지,letter,pyanji,noun,objects,,1.4
맛,taste,mat,noun,abstracts,,1.4
식사,meal,sigsa,noun,abstracts,,1.4
아침,morning,achim,noun,time,,1.4
아침식사,breakfast,achimshigsa,noun,food/drink,,1.4
물,water,bul,noun,food/drink,,1.4
사과,apple,tsagwa,noun,food/drink,,1.4
돈,money,ton,noun,objects,,1.4
오다,to come,ohda,verb,motion,,1.4
끝내다,to finish,ggeunnaeda,verb,abstracts,,1.4
춤추다,to dance,chumchuda,verb,motion,,1.4
알다,to know,ailda,verb,abstracts,알다 follows the ㄹ irregular,1.4
걷다,to walk,geoddda,verb,motion,걷다 follows the ㄷ irregular,1.4
배우다,to learn,paeuda,verb,abstracts,,1.4
연습하다,to practice,yeolsipada,verb,abstracts,,1.4
생각하다,to think,saenggakada,verb,abstracts,,1.4
살다,to live,sailda,verb,abstracts,살다 follows the ㄹ irregular,1.4
끝나다 ,to be finished,ggeunada,passive verb,abstracts,,1.4
위험하다,to be dangerous,uihamhada,adjective,objects,,1.4
잘생기다,to be handsome,jaisaenggida,adjective,people,,1.4
못생기다,to be ugly,bossaengiga,adjective,people,,1.4
피곤하다,to be tired,pigonhada,adjective,people,,1.4
다르다,to be different,tareuda,adjective,objects,다르다 follows the 르 irregular,1.4
슬프다,to be sad,seulpeuda,adjective,people,슬프다 follows the ㅡ irregular,1.4
맛있다,to be delicious,masibdda,adjective,food/drink,,1.4
재미있다,to be funny/fun,jaemiiddda,adjective,abstracts,,1.4
많다,"to be many of, to be a lot of",manta,adjective,abstracts,,1.4
행복하다,to be happy,haengbokada,adjective,people,,1.4
거기,there,geogi,adverb,places,,1.4
저기,over there,jeogi,adverb,places,,1.4
저금,now,jigum,adverb,time,doesn't need the time particle,1.4
하자만,but,hajiman,conjunction,n/a,,1.4
